Tid,Avstand,X,Y,Z,Error,Power,uP,uI,uD
967,299,10,7,1016,1,0,0,0,0
968,300,10,8,1016,0,0,0,0,0
969,302,11,8,1017,-2,0,0,0,0
970,302,12,7,1017,-2,0,0,0,0
971,302,12,7,1018,-2,0,0,0,0
972,303,12,7,1018,-3,0,0,0,0
973,302,12,7,1018,-2,0,0,0,0
974,302,12,7,1019,-2,0,0,0,0
975,301,12,7,1019,-1,0,0,0,0
976,302,12,7,1018,-2,0,0,0,0
977,302,12,7,1019,-2,0,0,0,0
978,302,12,7,1020,-2,0,0,0,0
979,302,13,7,1021,-2,0,0,0,0
980,301,13,8,1021,-1,0,0,0,0
981,298,12,9,1020,2,0,0,0,0
982,299,12,8,1018,1,0,0,0,0
983,298,11,8,1018,2,0,0,0,0
984,297,11,7,1018,3,0,0,0,0
985,290,11,7,1018,10,20130,20000,130,0
986,292,11,9,1016,8,16310,16000,310,0
987,292,21,-60,898,8,16470,16000,470,0
988,284,-7,-90,813,16,32710,32000,710,0
989,274,-20,-107,816,26,53130,52000,1130,0
990,277,-30,-23,825,23,47620,46000,1620,0
991,277,-53,79,826,23,48080,46000,2080,0
992,264,-112,58,754,36,65535,6464,2670,0
993,252,-71,52,802,48,65535,30464,3510,0
994,254,-34,163,882,46,65535,26464,4450,0
995,253,-26,141,1011,47,65535,28464,5380,0
996,243,16,135,1045,57,65535,48464,6420,0
997,234,26,89,1027,66,65535,928,7650,0
998,236,40,100,957,64,65535,62464,8950,0
999,236,103,112,1044,64,65535,62464,10230,0
1000,231,161,124,1080,69,65535,6928,11560,0
1001,227,193,77,1209,73,65535,14928,12980,0
1002,228,174,19,1236,72,65535,12928,14430,0
1003,228,172,36,1256,72,65535,12928,15870,0
1004,232,103,-18,1206,68,65535,4928,17270,0
1005,233,57,-23,1177,67,65535,2928,18620,0
1006,233,18,-47,1090,67,65535,2928,19960,0
1007,233,21,-66,1053,67,65535,2928,21300,0
1008,238,-2,-36,1046,62,65535,58464,22590,0
1009,240,-48,-17,872,60,65535,54464,23810,0
1010,240,-69,-86,872,60,65535,54464,25010,0
1011,240,-35,-108,1011,60,65535,54464,26210,0
1012,248,-16,-64,1035,52,65535,38464,27330,0
1013,251,7,-131,1139,49,65535,32464,28340,0
1014,250,38,-127,1254,50,65535,34464,29330,0
1015,250,61,-113,1368,50,65535,34464,30330,0
1016,258,66,-11,1402,42,65535,18464,31250,0
1017,260,-3,-11,1351,40,65535,14464,32070,0
1018,260,-31,49,1260,40,65535,14464,32870,0
1019,260,23,89,1284,40,65535,14464,33670,0
1020,270,55,113,1272,30,65535,60000,34370,0
1021,270,45,72,1230,30,65535,60000,34970,0
1022,270,37,47,1169,30,65535,60000,35570,0
1023,271,40,69,992,29,65535,58000,36160,0
1024,279,34,92,893,21,65535,42000,36660,0
1025,280,29,68,866,20,65535,40000,37070,0
1026,281,65,10,965,19,65535,38000,37460,0
1027,281,4,-5,850,19,65535,38000,37840,0
1028,287,-33,23,802,13,64160,26000,38160,0
1029,287,-71,42,765,13,64420,26000,38420,0
1030,288,-125,29,699,12,62670,24000,38670,0
1031,288,-140,-39,700,12,62910,24000,38910,0
1032,297,-92,-43,745,3,0,0,0,0
1033,296,-55,-93,795,4,0,0,0,0
1034,297,-2,-260,846,3,0,0,0,0
1035,298,38,-414,936,2,0,0,0,0
1036,310,26,-422,779,-10,20080,45536,65456,0
1037,310,10,-413,764,-10,20280,45536,65256,0
1038,307,-32,-483,766,-7,14450,51536,65086,0
1039,310,-49,-523,789,-10,20620,45536,64916,0
1040,315,-44,-403,776,-15,30870,35536,64666,0
1041,314,-37,-347,773,-14,29160,37536,64376,0
1042,314,-32,-340,794,-14,29440,37536,64096,0
1043,314,-13,-262,853,-14,29720,37536,63816,0
1044,310,0,-204,892,-10,21960,45536,63576,0
1045,310,-5,-159,904,-10,22160,45536,63376,0
1046,309,-27,-90,920,-9,20350,47536,63186,0
1047,310,-32,-55,932,-10,22540,45536,62996,0
1048,307,-28,-39,949,-7,16710,51536,62826,0
1049,307,-16,-31,950,-7,16850,51536,62686,0
1050,307,-15,-1,925,-7,16990,51536,62546,0
1051,307,-14,6,891,-7,17130,51536,62406,0
1052,304,-15,-1,887,-4,0,0,0,0
1053,303,-5,12,902,-3,0,0,0,0
1054,304,2,164,962,-4,0,0,0,0
1055,304,-9,186,974,-4,0,0,0,0
1056,304,10,118,1039,-4,0,0,0,0
1057,304,6,104,1066,-4,0,0,0,0
1058,304,6,66,1063,-4,0,0,0,0
1059,303,7,59,1058,-3,0,0,0,0
1060,298,4,45,1038,2,0,0,0,0
1061,297,6,35,1034,3,0,0,0,0
1062,297,9,32,1026,3,0,0,0,0
1063,298,10,21,1023,2,0,0,0,0
1064,301,12,24,1021,-1,0,0,0,0
